["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","BOTTOM"]
["port 4","BOTTOM"]
("port 1","mode 1",1,"port 1",1,"transmission")
(11, 3)
1.8737028625000000e+14 1.3317192254179292e-03 -2.2214621898535154e+00
1.8861942149166666e+14 2.8454477513570401e-04 -1.5028197345460592e+00
1.8986855673333334e+14 6.1953966876212489e-04 -4.0921756237357085e+00
1.9111769197500000e+14 9.6757073894409792e-04 -3.2389751043545378e+00
1.9236682721666666e+14 8.4481929503402154e-04 -2.1592588497804415e+00
1.9361596245833331e+14 7.3166616267299298e-04 -7.8826950262195505e-01
1.9486509770000000e+14 6.9017093954072521e-04 3.6272550461038466e-01
1.9611423294166666e+14 3.5116606327147842e-04 1.1556097290368847e+00
1.9736336818333331e+14 2.5051238934193872e-04 -9.1600514795975863e-01
1.9861250342500000e+14 7.2608397058192362e-04 -4.3006068064237607e-01
1.9986163866666666e+14 7.7175106937602727e-04 1.0602329147847598e-02
("port 1","mode 1",1,"port 2",1,"transmission")
(11, 3)
1.8737028625000000e+14 9.3623632371889043e-01 7.3293879613512428e-02
1.8861942149166666e+14 9.4078604585508641e-01 1.3563198410406341e+00
1.8986855673333334e+14 9.4497064768686612e-01 2.6385311004952152e+00
1.9111769197500000e+14 9.4880670643770004e-01 3.9199063691649245e+00
1.9236682721666666e+14 9.5231842486031648e-01 5.2004235125555311e+00
1.9361596245833331e+14 9.5554078917526541e-01 6.4800569744666578e+00
1.9486509770000000e+14 9.5850444151332659e-01 7.7587840984842975e+00
1.9611423294166666e+14 9.6122528543164532e-01 9.0365821557528072e+00
1.9736336818333331e+14 9.6371506937639928e-01 1.0313428738401468e+01
1.9861250342500000e+14 9.6599026252774411e-01 1.1589312487256185e+01
1.9986163866666666e+14 9.6806520359792558e-01 1.2864232333623015e+01
("port 1","mode 1",1,"port 3",1,"transmission")
(11, 3)
1.8737028625000000e+14 3.3024067652940789e-04 -2.2597513664899362e+00
1.8861942149166666e+14 5.2163973915599364e-04 -4.5345035576557674e-01
1.8986855673333334e+14 7.9922243114259844e-04 1.0786462205628145e+00
1.9111769197500000e+14 1.0810856393642285e-03 2.4481168815830783e+00
1.9236682721666666e+14 1.2839283484343117e-03 3.7500812879791199e+00
1.9361596245833331e+14 1.3735690316084154e-03 5.0309688754968853e+00
1.9486509770000000e+14 1.3528921392185265e-03 6.3042381975597870e+00
1.9611423294166666e+14 1.2351088959083156e-03 7.5687481469733022e+00
1.9736336818333331e+14 1.0384182101421332e-03 8.8217794026444132e+00
1.9861250342500000e+14 7.9332190052448196e-04 1.0057361578412705e+01
1.9986163866666666e+14 5.3504567343132996e-04 1.1241513827411991e+01
("port 1","mode 1",1,"port 4",1,"transmission")
(11, 3)
1.8737028625000000e+14 3.4500896046166324e-01 -1.1740221764565637e+00
1.8861942149166666e+14 3.3362800313939495e-01 7.9401908680447109e-02
1.8986855673333334e+14 3.2264703415187268e-01 1.3320320768223930e+00
1.9111769197500000e+14 3.1206396487541926e-01 2.5838375939329521e+00
1.9236682721666666e+14 3.0186785046518771e-01 3.8347837101446678e+00
1.9361596245833331e+14 2.9204398921500102e-01 5.0848301598086394e+00
1.9486509770000000e+14 2.8257922122681717e-01 6.3339451076112647e+00
1.9611423294166666e+14 2.7345948349352223e-01 7.5821118611672436e+00
1.9736336818333331e+14 2.6466834451223858e-01 8.8293185793288220e+00
1.9861250342500000e+14 2.5619097613820552e-01 1.0075560043970482e+01
1.9986163866666666e+14 2.4801612886027349e-01 1.1320851051451641e+01
("port 2","mode 1",1,"port 1",1,"transmission")
(11, 3)
1.8737028625000000e+14 9.3610762869379238e-01 7.3137912668817640e-02
1.8861942149166666e+14 9.4068742202358269e-01 1.3561891879620753e+00
1.8986855673333334e+14 9.4489736494978782e-01 2.6384233515826905e+00
1.9111769197500000e+14 9.4875385692979730e-01 3.9198182196140796e+00
